			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Защита от Земли	Защ. от Земли	3	x	 	 		12	9	9	9	0	50	50	25	25	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Защита от Земли}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Земли на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Земли базовой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Земли на 50%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Земли продвинутой ступени}

Защищает выбранный дружественный отряд, уменьшая повреждения от заклинаний Земли на 75%. Заклинание действует число раундов, равное силе магии героя.
"	"{Защита от Земли экспертной ступени}

Защищает все дружественные отряды, уменьшая повреждения от заклинаний Земли на 75%. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Антимагия	Антимагия	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Антимагия}

Защищает выбранный дружественный отряд от всех заклинаний 1-3 уровня, кроме Снятия Заклинаний, снимая при этом уже наложенные негативные заклинания 1-3 уровня, кроме Разрушающего Луча. Не действует на копии, созданные заклинанием Клон. Заклинание действует число раундов, равное силе магии героя.
"	"{Антимагия базовой ступени}

Защищает выбранный дружественный отряд от всех заклинаний 1-3 уровня, кроме Снятия Заклинаний, снимая при этом уже наложенные негативные заклинания 1-3 уровня, кроме Разрушающего Луча. Не действует на копии, созданные заклинанием Клон. Заклинание действует число раундов, равное силе магии героя.
"	"{Антимагия продвинутой ступени}

Защищает выбранный дружественный отряд от всех заклинаний 1-4 уровня, кроме Снятия Заклинаний, снимая при этом уже наложенные негативные заклинания 1-4 уровня, кроме Разрушающего Луча. Не действует на копии, созданные заклинанием Клон. Заклинание действует число раундов, равное силе магии героя.
"	"{Антимагия экспертной ступени}

Защищает выбранный дружественный отряд от всех заклинаний, кроме Снятия Заклинаний, снимая при этом уже наложенные негативные заклинания, кроме Разрушающего Луча. Не действует на копии, созданные заклинанием Клон. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Снятие Заклинаний	Снятие Закл.	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Снятие Заклинаний}

Снимает все заклинания и эффекты, кроме Разрушающего Луча и яда, с дружественного отряда. Игнорирует врождённые иммунитеты к магии цели.
"	"{Снятие Заклинаний базовой ступени}

Снимает все заклинания и эффекты, кроме Разрушающего Луча и яда, с дружественного отряда. Игнорирует врождённые иммунитеты к магии цели.
"	"{Снятие Заклинаний продвинутой ступени}

Снимает все заклинания и эффекты, кроме Разрушающего Луча и яда, с дружественного или враждебного отряда. Игнорирует шансы сопротивляться магии и врождённые иммунитеты цели.
"	"{Снятие Заклинаний экспертной ступени}

Снимает все заклинания и эффекты, кроме Разрушающего Луча и яда, со всех отрядов на поле боя и уничтожает все магические препятствия. Игнорирует шансы сопротивляться магии и врождённые иммунитеты целей.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Волшебное Зеркало	Волш. Зеркало	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Волшебное Зеркало}

Отражает враждебные заклинания от выбранного дружественного отряда в случайно выбранного врага в 20% случаев. Защищает от Гипноза. Заклинание действует число раундов, равное силе магии героя.
"	"{Волшебное Зеркало базовой ступени}

Отражает враждебные заклинания от выбранного дружественного отряда в случайно выбранного врага в 20% случаев. Защищает от Гипноза. Заклинание действует число раундов, равное силе магии героя.
"	"{Волшебное Зеркало продвинутой ступени}

Отражает враждебные заклинания от выбранного дружественного отряда в случайно выбранного врага в 30% случаев. Защищает от Гипноза. Заклинание действует число раундов, равное силе магии героя.
"	"{Волшебное Зеркало экспертной ступени}

Отражает враждебные заклинания от выбранного дружественного отряда в случайно выбранного врага в 40% случаев. Защищает от Гипноза. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Лечение	Лечение	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Лечение}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме Разрушающего Луча и связывающих пут дендроидов, а также излечивает (сила магии x 5 + 10) здоровья. Восстанавливает отнятое ядом здоровье.
"	"{Лечение базовой ступени}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме Разрушающего Луча и связывающих пут дендроидов, а также излечивает (сила магии x 5 + 10) здоровья. Восстанавливает отнятое ядом здоровье.
"	"{Лечение продвинутой ступени}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме Разрушающего Луча и связывающих пут дендроидов, а также излечивает (сила магии x 5 + 20) здоровья. Восстанавливает отнятое ядом здоровье.
"	"{Лечение экспертной ступени}

Снимает со всех дружественных отрядов все негативные заклинания и эффекты, кроме Разрушающего Луча и связывающих пут дендроидов, а также излечивает (сила магии x 5 + 30) здоровья. Восстанавливает отнятое ядом здоровье.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Воскрешение	Воскрешение	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Воскрешение}

Воскрешает воинов в выбранном дружественном отряде живых существ до конца боя, восстанавливая (сила магии x 50 + 40) единиц здоровья отряда.
"	"{Воскрешение базовой ступени} 

Воскрешает воинов в выбранном дружественном отряде живых существ до конца боя, восстанавливая (сила магии x 50 + 40) единиц здоровья отряда.
"	"{Воскрешение продвинутой ступени} 

Воскрешает воинов в выбранном дружественном отряде живых существ навсегда, восстанавливая (сила магии x 50 + 80) единиц здоровья отряда.
"	"{Воскрешение экспертной ступени} 

Воскрешает воинов в выбранном дружественном отряде живых существ навсегда, восстанавливая (сила магии x 50 + 160) единиц здоровья отряда.
"	 COMBAT_SPELL|CREATURE_TARGET
Поднять Мертвецов	Подн. Мертв.	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Поднять Мертвецов}

Поднимает уничтоженную нежить в выбранном дружественном отряде, восстанавливая (сила магии x 50 + 30) единиц здоровья отряда.
"	"{Поднять Мертвецов базовой ступени}

Поднимает уничтоженную нежить в выбранном дружественном отряде, восстанавливая (сила магии x 50 + 30) единиц здоровья отряда.
"	"{Поднять Мертвецов продвинутой ступени}

Поднимает уничтоженную нежить в выбранном дружественном отряде, восстанавливая (сила магии x 50 + 60) единиц здоровья отряда.
"	"{Поднять Мертвецов экспертной ступени}

Поднимает уничтоженную нежить в выбранном дружественном отряде, восстанавливая (сила магии x 50 + 160) единиц здоровья отряда.
"	 COMBAT_SPELL|CREATURE_TARGET
Жертва	Жертва	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Жертва}

Навсегда уничтожает отряд дружественных живых существ, чтобы воскресить другой дружественный отряд живых существ. Сила воскрешения составляет ((сила магии + базовое здоровье существа в пожертвованном отряде + 3) x число пожертвованных существ) единиц здоровья.
"	"{Жертва базовой ступени}

Навсегда уничтожает отряд дружественных живых существ, чтобы воскресить другой дружественный отряд живых существ. Сила воскрешения составляет ((сила магии + базовое здоровье существа в пожертвованном отряде + 3) x число пожертвованных существ) единиц здоровья.
"	"{Жертва продвинутой ступени}

Навсегда уничтожает отряд дружественных живых существ, чтобы воскресить другой дружественный отряд живых существ. Сила воскрешения составляет ((сила магии + базовое здоровье существа в пожертвованном отряде + 6) x число пожертвованных существ) единиц здоровья.
"	"{Жертва экспертной ступени}

Навсегда уничтожает отряд дружественных живых существ, чтобы воскресить другой дружественный отряд живых существ. Сила воскрешения составляет ((сила магии + базовое здоровье существа в пожертвованном отряде + 10) x число пожертвованных существ) единиц здоровья.
"	 COMBAT_SPELL|CREATURE_TARGET
Благословение	Благослов.	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Благословение}

Выбранный дружественный отряд всегда наносит максимальный урон в бою. Цель теряет эффект Проклятия. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Благословение базовой ступени}

Выбранный дружественный отряд всегда наносит максимальный урон в бою. Цель теряет эффект Проклятия. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Благословение продвинутой ступени}

Выбранный дружественный отряд всегда наносит в бою урон, на 1 больший его максимального урона. Цель теряет эффект Проклятия. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Благословение экспертной ступени}

Все дружественные отряды всегда наносят в бою урон, на 1 больший их максимального урона. Цели теряют эффект Проклятия. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Проклятие	Проклятие	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Проклятие}

Выбранный вражеский отряд всегда наносит минимальный урон в бою. Цель теряет эффект Благословения. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Проклятие базовой ступени}

Выбранный вражеский отряд всегда наносит минимальный урон в бою. Цель теряет эффект Благословения. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Проклятие продвинутой ступени}

Выбранный вражеский отряд всегда наносит в бою урон, на 1 меньший его минимального урона. Цель теряет эффект Благословения. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Проклятие экспертной ступени}

Все вражеские отряды всегда наносят в бою урон, на 1 меньший их минимального урона. Цели теряют эффект Благословения. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Жажда Крови	Жажда крови	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Жажда Крови}

Увеличивает силу атаки выбранного дружественного отряда в ближнем бою на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Жажда Крови базовой ступени}

Увеличивает силу атаки выбранного дружественного отряда в ближнем бою на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Жажда Крови продвинутой ступени}

Увеличивает силу атаки выбранного дружественного отряда в ближнем бою на 6. Заклинание действует число раундов, равное силе магии героя.
"	"{Жажда Крови экспертной ступени}

Увеличивает силу атаки всех дружественных отрядов в ближнем бою на 6. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Точность	Точность	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Точность}

Увеличивает силу атаки выбранного дружественного отряда при стрелковой атаке на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Точность базовой ступени}

Увеличивает силу атаки выбранного дружественного отряда при стрелковой атаке на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Точность продвинутой ступени}

Увеличивает силу атаки выбранного дружественного отряда при стрелковой атаке на 6. Заклинание действует число раундов, равное силе магии героя.
"	"{Точность экспертной ступени}

Увеличивает силу атаки всех дружественных отрядов при стрелковой атаке на 6. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Слабость	Слабость	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Слабость}

Уменьшает силу атаки выбранного вражеского отряда на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Слабость базовой ступени}

Уменьшает силу атаки выбранного вражеского отряда на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Слабость продвинутой ступени}

Уменьшает силу атаки выбранного вражеского отряда на 6. Заклинание действует число раундов, равное силе магии героя.
"	"{Слабость экспертной ступени}

Уменьшает силу атаки всех вражеских отрядов на 6. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Каменная Кожа	Кам. Кожа	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Каменная Кожа}

Увеличивает защиту выбранного дружественного отряда на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Каменная Кожа базовой ступени}

Увеличивает защиту выбранного дружественного отряда на 3. Заклинание действует число раундов, равное силе магии героя.
"	"{Каменная Кожа продвинутой ступени}

Увеличивает защиту выбранного дружественного отряда на 6. Заклинание действует число раундов, равное силе магии героя.
"	"{Каменная Кожа экспертной ступени}

Увеличивает защиту всех дружественных отрядов на 6. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Разрушающий Луч	Разруш. Луч	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Разрушающий Луч}

Уменьшает защиту выбранного вражеского отряда на 3. Один и тот же отряд может быть поражён Разрушающим Лучом несколько раз. Заклинание не может быть снято никаким способом, его действие продолжится даже после гибели и последующего воскрешения отряда. Время действия заклинания не ограничено.
"	"{Разрушающий Луч базовой ступени}

Уменьшает защиту выбранного вражеского отряда на 3. Один и тот же отряд может быть поражён Разрушающим Лучом несколько раз. Заклинание не может быть снято никаким способом, его действие продолжится даже после гибели и последующего воскрешения отряда. Время действия заклинания не ограничено.
"	"{Разрушающий Луч продвинутой ступени}

Уменьшает защиту выбранного вражеского отряда на 4. Один и тот же отряд может быть поражён Разрушающим Лучом несколько раз. Заклинание не может быть снято никаким способом, его действие продолжится даже после гибели и последующего воскрешения отряда. Время действия заклинания не ограничено.
"	"{Разрушающий Луч экспертной ступени}

Уменьшает защиту выбранного вражеского отряда на 5. Один и тот же отряд может быть поражён Разрушающим Лучом несколько раз. Заклинание не может быть снято никаким способом, его действие продолжится даже после гибели и последующего воскрешения отряда. Время действия заклинания не ограничено.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Молитва	Молитва	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Молитва}

Увеличивает силу атаки, защиту и скорость выбранного дружественного отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Молитва базовой ступени}

Увеличивает силу атаки, защиту и скорость выбранного дружественного отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Молитва продвинутой ступени}

Увеличивает силу атаки, защиту и скорость выбранного дружественного отряда на 4. Заклинание действует число раундов, равное силе магии героя.
"	"{Молитва экспертной ступени}

Увеличивает силу атаки, защиту и скорость всех дружественных отрядов на 4. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Радость	Радость	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Радость}

Заклинание разума. Увеличивает боевой дух выбранного дружественного отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Радость базовой ступени}

Заклинание разума. Увеличивает боевой дух выбранного дружественного отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Радость продвинутой ступени}

Заклинание разума. Увеличивает боевой дух выбранного дружественного отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Радость экспертной ступени}

Заклинание разума. Увеличивает боевой дух всех дружественных отрядов на 2. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Печаль	Печаль	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Печаль}

Заклинание разума. Уменьшает боевой дух выбранного вражеского отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Печаль базовой ступени}

Заклинание разума. Уменьшает боевой дух выбранного вражеского отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Печаль продвинутой ступени}

Заклинание разума. Уменьшает боевой дух выбранного вражеского отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Печаль экспертной ступени}

Заклинание разума. Уменьшает боевой дух всех вражеских отрядов на 2. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Удача	Удача	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Удача}

Увеличивает удачу выбранного дружественного отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Удача базовой ступени}

Увеличивает удачу выбранного дружественного отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Удача продвинутой ступени}

Увеличивает удачу выбранного дружественного отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Удача экспертной ступени}

Увеличивает удачу всех дружественных отрядов на 2. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Неудача	Неудача	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Неудача}

Уменьшает удачу выбранного вражеского отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Неудача базовой ступени}

Уменьшает удачу выбранного вражеского отряда на 1. Заклинание действует число раундов, равное силе магии героя.
"	"{Неудача продвинутой ступени}

Уменьшает удачу выбранного вражеского отряда на 2. Заклинание действует число раундов, равное силе магии героя.
"	"{Неудача экспертной ступени}

Уменьшает удачу всех вражеских отрядов на 2. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ускорение	Ускорение	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Ускорение}

Увеличивает скорость выбранного дружественного отряда на 3. Снимает эффект Медлительности. Заклинание действует число раундов, равное силе магии героя.
"	"{Ускорение базовой ступени}

Увеличивает скорость выбранного дружественного отряда на 3. Снимает эффект Медлительности. Заклинание действует число раундов, равное силе магии героя.
"	"{Ускорение продвинутой ступени}

Увеличивает скорость выбранного дружественного отряда на 5. Снимает эффект Медлительности. Заклинание действует число раундов, равное силе магии героя.
"	"{Ускорение экспертной ступени}

Увеличивает скорость всех дружественных отрядов на 5. Снимает эффект Медлительности. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Медлительность	Медлит.	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Медлительность}

Уменьшает скорость выбранного вражеского отряда на 25%. Снимает эффект Ускорения. Заклинание действует число раундов, равное силе магии героя.
"	"{Медлительность базовой ступени}

Уменьшает скорость выбранного вражеского отряда по формуле (старая скорость x 0,75). Снимает эффект Ускорения. Заклинание действует число раундов, равное силе магии героя.
"	"{Медлительность продвинутой ступени}

Уменьшает скорость выбранного вражеского отряда по формуле ((старая скорость x 0,5) + 1). Снимает эффект Ускорения. Заклинание действует число раундов, равное силе магии героя.
"	"{Медлительность экспертной ступени}

Уменьшает скорость всех вражеских отрядов по формуле ((старая скорость x 0,5) + 1). Снимает эффект Ускорения. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Палач	Палач	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Палач}

Увеличивает силу атаки выбранного дружественного отряда против драконов, чудищ, гидр, огненных птиц и морских змеев на 8. Заклинание действует число раундов, равное силе магии героя.
"	"{Палач базовой ступени}

Увеличивает силу атаки выбранного дружественного отряда против драконов, чудищ, гидр, огненных птиц и морских змеев на 8. Заклинание действует число раундов, равное силе магии героя.
"	"{Палач продвинутой ступени}

Увеличивает силу атаки выбранного дружественного отряда против драконов, чудищ, гидр, огненных птиц, морских змеев, дьяволов и ангелов на 8. Заклинание действует число раундов, равное силе магии героя.
"	"{Палач экспертной ступени}

Увеличивает силу атаки выбранного дружественного отряда против драконов, чудищ, гидр, огненных птиц, морских змеев, дьяволов, ангелов и гигантов на 8. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Бешенство	Бешенство	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Бешенство}

Заклинание разума. Выбранный дружественный отряд осознанно снижает свою защиту до 0, чтобы увеличить ярость своей атаки. Сила атаки увеличивается настолько же, насколько уменьшилась защита отряда. Заклинание начинает действовать немедленно и длится на протяжение ближайшего хода целевого отряда. После этого оно продолжается вплоть до начала следующего хода цели."	"{Бешенство базовой ступени}

Заклинание разума. Выбранный дружественный отряд осознанно снижает свою защиту до 0, чтобы увеличить ярость своей атаки. Сила атаки увеличивается настолько же, насколько уменьшилась защита отряда. Заклинание начинает действовать немедленно и длится на протяжение ближайшего хода целевого отряда. После этого оно продолжается вплоть до начала следующего хода цели.
"	"{Бешенство продвинутой ступени}

Заклинание разума. Выбранный дружественный отряд осознанно снижает свою защиту до 0, чтобы увеличить ярость своей атаки. Сила атаки увеличивается на число, в 1.5 раза большее бывшей защиты отряда. Заклинание начинает действовать немедленно и длится на протяжение ближайшего хода целевого отряда. После этого оно продолжается вплоть до начала следующего хода цели.
"	"{Бешенство экспертной ступени}

Заклинание разума. Выбранный дружественный отряд осознанно снижает свою защиту до 0, чтобы увеличить ярость своей атаки. Сила атаки увеличивается на число, в 2 раза большее бывшей защиты отряда. Заклинание начинает действовать немедленно и длится на протяжение ближайшего хода целевого отряда. После этого оно продолжается вплоть до начала следующего хода цели.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Молния Титана	Молн. Титана	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Молния Титана}

Наносит 600 единиц урона выбранному вражескому отряду и не требует затрат маны.
"	"{Молния Титана базовой ступени}

Наносит 600 единиц урона выбранному вражескому отряду и не требует затрат маны.
"	"{Молния Титана продвинутой ступени}

Наносит 600 единиц урона выбранному вражескому отряду и не требует затрат маны.
"	"{Молния Титана экспертной ступени}

Наносит 600 единиц урона выбранному вражескому отряду и не требует затрат маны.
"	
Контрудар	Контрудар	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Контрудар}

Выбранный дружественный отряд будет отвечать на одну дополнительную атаку в каждом раунде. Заклинание действует число раундов, равное силе магии героя.
"	"{Контрудар базовой ступени}

Выбранный дружественный отряд будет отвечать на одну дополнительную атаку в каждом раунде. Заклинание действует число раундов, равное силе магии героя.
"	"{Контрудар продвинутой ступени}

Выбранный дружественный отряд будет отвечать на две дополнительные атаки в каждом раунде. Заклинание действует число раундов, равное силе магии героя.
"	"{Контрудар экспертной ступени}

Все дружественные отряды будут отвечать на две дополнительные атаки в каждом раунде. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Берсерк	Берсерк	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Берсерк}

Заклинание разума. Выбранный отряд будет случайно атаковать ближайший к нему отряд, будь то враг или друг. Цель теряет эффект Гипноза. Заклинание действует, пока цель не совершит атаку, в противном случае длительность заклинания не ограничена.
"	"{Берсерк базовой ступени}

Заклинание разума. Выбранный отряд будет случайно атаковать ближайший к нему отряд, будь то враг или друг. Цель теряет эффект Гипноза. Заклинание действует, пока цель не совершит атаку, в противном случае длительность заклинания не ограничена.
"	"{Берсерк продвинутой ступени}

Заклинание разума. Выбранный отряд, а также все отряды рядом с выбранной позицией, будут случайно атаковать ближайшие к ним отряды, будь то враги или друзья. Цели теряют эффект Гипноза. Заклинание действует, пока цель не совершит атаку, в противном случае длительность заклинания не ограничена.
"	"{Берсерк экспертной ступени}

Заклинание разума. Выбранный отряд, а также все отряды на расстоянии 1 и 2 от выбранной позиции, будут случайно атаковать ближайшие к ним отряды, будь то враги или друзья. Цели теряют эффект Гипноза. Заклинание действует, пока цель не совершит атаку, в противном случае длительность заклинания не ограничена.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Гипноз	Гипноз	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Гипноз}

Заклинание разума. Временно передаёт вам управление выбранным вражеским отрядом, общее здоровье которого не превосходит (сила магии x 25 + 10). Снимает эффект Берсерка. Заклинание действует число раундов, равное силе магии героя.
"	"{Гипноз базовой ступени}

Заклинание разума. Временно передаёт вам управление выбранным вражеским отрядом, общее здоровье которого не превосходит (сила магии x 25 + 10). Снимает эффект Берсерка. Заклинание действует число раундов, равное силе магии героя.
"	"{Гипноз продвинутой ступени}

Заклинание разума. Временно передаёт вам управление выбранным вражеским отрядом, общее здоровье которого не превосходит (сила магии x 25 + 20). Снимает эффект Берсерка. Заклинание действует число раундов, равное силе магии героя.
"	"{Гипноз экспертной ступени}

Заклинание разума. Временно передаёт вам управление выбранным вражеским отрядом, общее здоровье которого не превосходит (сила магии x 25 + 50). Снимает эффект Берсерка. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Забывчивость	Забывчивость	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Забывчивость}

Заклинание разума. Половина выбранного вражеского стрелкового отряда перестаёт атаковать. Заклинание действует число раундов, равное силе магии героя.
"	"{Забывчивость базовой ступени}

Заклинание разума. Половина выбранного вражеского стрелкового отряда перестаёт атаковать. Заклинание действует число раундов, равное силе магии героя.
"	"{Забывчивость продвинутой ступени}

Заклинание разума. Выбранный вражеский стрелковый отряд перестаёт использовать стрелковую атаку, а его половина перестаёт атаковать и в ближнем бою. Заклинание действует число раундов, равное силе магии героя.
"	"{Забывчивость экспертной ступени}

Заклинание разума. Все вражеские стрелковые отряды перестают использовать стрелковые атаки, а половина каждого из них перестаёт атаковать и в ближнем бою. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Ослепление	Ослепление	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Ослепление}

Заклинание разума. Временно ослепляет выбранный вражеский отряд, так что он становится неспособным двигаться и отвечает на атаки вполсилы. Ослепление остаётся, пока отряд не атакован, или же чары не сняты. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Ослепление базовой ступени}

Заклинание разума. Временно ослепляет выбранный вражеский отряд, так что он становится неспособным двигаться и отвечает на атаки вполсилы. Ослепление остаётся, пока отряд не атакован, или же чары не сняты. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Ослепление продвинутой ступени}

Заклинание разума. Временно ослепляет выбранный вражеский отряд, так что он становится неспособным двигаться и отвечает на атаки в четверть полной силы. Ослепление остаётся, пока отряд не атакован, или же чары не сняты. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	"{Ослепление экспертной ступени}

Заклинание разума. Временно ослепляет выбранный вражеский отряд, так что он становится неспособным двигаться и отвечать на атаки. Ослепление остаётся, пока отряд не атакован, или же чары не сняты. Не действует на нежить. Заклинание действует число раундов, равное силе магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
