	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Belong to class quest	У меня есть награда для того, кто принадлежит классу %s.	У меня есть награда для того, кто принадлежит к классу %s.	У меня есть награда для того, кто принадлежит к классу %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.
Belong to class quest progress	Вы не %s. У меня нет ничего для вас. Убирайтесь!	Вы не %s. У меня ничего нет для вас. Убирайтесь!	Вы не %s. У меня ничего нет для вас. Убирайтесь!	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.	Местная стража пропускает только героев класса %s.
Belong to class quest complete	О, вы %s. Вот ваша награда. Примете её?	О, вы %s. Вот ваша награда. Примете её?	О, вы %s. Вот ваша награда. Примете её?	Стражи заметили, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?	Стражи заметили, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?	Стражи убедились, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?	Стражи убедились, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?	Стражи убедились, что вы %s, и позволяют вам пройти. Хотите сделать это сейчас?
Belong to class quest rollover	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)	(Для героев класса: %s)
Belong to class quest log	%s: Провидец %s	%s: Провидец %s	%s: Провидец %s	%s: Открыть проход	%s: Открыть проход	%s: Открыть проход	%s: Пройти через врата	%s: Пройти через врата	%s: Пройти через врата
Wait quest	Я занят. Возвращайтесь не раньше %s.	Я занят. Возвращайтесь не раньше %s.	Я занят. Возвращайтесь не раньше %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.
Wait quest progress	Я занят. Возвращайтесь не раньше %s.	Я занят. Возвращайтесь не раньше %s.	Я занят. Возвращайтесь не раньше %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.	Проход закрыт до %s.
Wait quest complete	Теперь у меня есть время поговорить с вами. Вот что у меня есть для вас. Берёте?	Теперь у меня есть время поговорить с вами. Вот что у меня есть для вас. Берёте?	Теперь у меня есть время поговорить с вами. Вот что у меня есть для вас. Берёте?	Теперь я могу пропустить вас. Желаете пройти?	Теперь я могу пропустить вас. Желаете пройти?	Теперь я могу пропустить вас. Желаете пройти?	Теперь я могу пропустить вас. Желаете пройти?	Теперь я могу пропустить вас. Желаете пройти?	Теперь я могу пропустить вас. Желаете пройти?
Wait quest rollover	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)	(Вернуться не раньше %s)
Wait quest log	Ждать %s: Провидец %s	Ждать %s: Провидец %s	Ждать %s: Провидец %s	Ждать %s: Открыть проход	Ждать %s: Открыть проход	Ждать %s: Открыть проход	Ждать %s: Пройти через врата	Ждать %s: Пройти через врата	Ждать %s: Пройти через врата
Time limit	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое вы должны вернуться: %d.	Количество дней, через которое врата ещё будут открыты: %d.	Количество дней, через которое врата ещё будут открыты: %d.	Количество дней, через которое врата ещё будут открыты: %d.
									
Seer Hut Names (48)									
Эбрахам									
Голдуин									
Брюс									
Блейн									
Энгл									
Карстен									
Дульси									
Донард									
Исслок									
Эвандер									
Фредерик									
Фэй									
Женевьева									
Хорас									
Хизер									
Айк									
Йем									
Джулиус									
Джозеф									
Каи									
Кендрик									
Линвуд									
Кирелл									
Мериголд									
Норвуд									
Клова									
Тим									
Гьер									
Пейдж									
Пирс									
Рэй									
Рафаэль									
Рэкс									
Хестер									
Спиридон									
Скай									
Райвал									
Тимеус									
Сульманд									
Ризлав									
Виолет									
Венделл									
Уинстон									
Ксанф									
Ксавье									
Иветт									
Зарай									
Зои									
